Opponent,Stage,Map,Whose Pick?,Rounds Won,Rounds Lost,Win/Loss?,skuba Agent,s0m Agent,mada Agent,Ethan Agent,Brawk Agent,Verno Agent,FNS Agent,skuba Rating,s0m Rating,mada Rating,Ethan Rating,Brawk Rating,Verno Rating,FNS Rating
GX,Upper QF,Lotus,Opponent,13,6,1,Viper,Omen,Raze,Fade,Vyse,,,1.51,1.16,1.5,0.91,1.15,,
MIBR,Upper SF,Abyss,Opponent,16,14,1,Vyse,Harbor,Yoru,Omen,Sova,,,0.73,0.79,1.08,0.88,0.95,,
MIBR,Upper SF,Haven,NRG,13,4,1,Killjoy,Viper,Neon,Omen,Sova,,,0.64,0.61,0.42,0.43,0.95,,
MIBR,Upper SF,Corrode,Decider,16,14,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.15,1.24,0.85,1.06,1.01,,
FNC,Upper Finals,Ascent,Opponent,14,12,1,Vyse,Omen,Jett,KAY/O,Sova,,,1.18,1.19,0.66,0.88,1.22,,
FNC,Upper Finals,Abyss,NRG,13,5,1,Vyse,Harbor,Yoru,Omen,Sova,,,1.52,1.07,1.23,1.03,1.12,,
FNC,Grand Finals,Corrode,NRG,13,3,1,Viper,Omen,Waylay,KAY/O,Sova,,,0.98,1.11,1.41,1.22,1.93,,
FNC,Grand Finals,Lotus,Opponent,13,6,1,Viper,Omen,Raze,Fade,Vyse,,,1.2,0.88,1.27,0.89,1.04,,
FNC,Grand Finals,Abyss,NRG,13,15,0,Vyse,Harbor,Yoru,Omen,Sova,,,1.2,0.53,0.82,1,1.18,,
FNC,Grand Finals,Ascent,Opponent,8,13,0,Vyse,Omen,Jett,KAY/O,Sova,,,0.81,1,0.8,0.91,1.22,,
FNC,Grand Finals,Sunset,Decider,13,5,1,Cypher,Omen,Neon,Breach,Sova,,,1.19,1,0.74,1.71,1.12,,
,,,,,,,,,,,,,,0.238428481,0.289629644,0.328095661,0.302415171,0.395662316,,
,,,,,,,,46,,,,,,1.111363636,1.066818182,1.088522727,1.020227273,1.12375,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14,21,24,16,22,,
